"Cocktail Name","Bartender","Bar/Company","City"
"Lucky No.3","Nick Meyer","The Soigne Group","Los Angeles"
"Lux Japanese Lemonade","Carlo Splendorini","Michael Mina Restaurant Group","San Francisco"
"Lux Shandy","Naomi Levy","Eastern Standard","Boston"
"Luxardo Sour","Adam Fortuna","Artusi","Seattle"
"Mack's Apple","Mariel Bordas","Putnam's Pub Cooker","Brooklyn"
"Mandrake","Brian Means","Dirty Habit","San Francisco"
"Mango No. 3","Diego Sanchez","Cocteleria","New York"
"Match Grip Julep","Jarred Weigand","Death Co.","New York"
"Mayahuel's Revenge","Brian Means","Dirty Habit","San Francisco"
"Mayan Mule","BC Hoffman","The Edison","Los Angeles"
"Merry Sherry Cobbler","Josh Trabulsi","Burritt Room","San Francisco"
"Mexico Mule","Benedict Simpson","Ancestral Garden Bar Restaurant","New Zealand"
"Motel Nacional","Nick Meyer","The Soigne Group","Los Angeles"
"Mother Superior","Alex Quesada","Local Edition","San Francisco"
"Mott and Mulberry","Leo Robitschek","Eleven Madison Park","New York"
"Muddled Mission","Joaquin Simo","Death Co.","New York"
"Nara Mule","Eduardo Val Naval","A Japanese Kirikata","Spain"
"Nectar of the Amazon","Matt Orth","LARK on the Park","Dallas"
"Negroni Sorbetto","Hung Nguyen","Caffe Dante","New York"
"Neko Colada","Paul Taylor","Cherry Blossom PUB","Washington DC"
"Newton's Theory","Brian Means","Fifth Floor","San Francisco"
"Nick Janae","David Ruiz","Harper Rye","San Francisco"
"Nigamono","John deBarry ","Momofuku","Chicago"
"No.10","Revae Schneider","Siena Tavern","Chicago"
"No3","Revae Schneider","Bar Siena","Chicago"
"Nori Islay","Anthony Parks","Mourad","San Francisco"
"Nuestra Julep","David Ruiz","Padrecito","San Francisco"
"Oaxacan Martini","Gina Scheurte","Cala","San Francisco"
"OH Snap!","Kevin Diedrich","Pacific Cocktail Haven","San Francisco"
"On the Fritz","Eric Quilty","Jupiter Olympus","San Francisco"
"On the Wings of Eagles","Matthew Polzin","The Olde Bar","Philadelphia"
"Palermo Breeze","Lainey Collum","Arthur Ave.","Houston"
"Pants off Dance off","Sean Gleason","Biltong Bar","Atlanta"
"Peachy Keane","Bonnie Wilson","Ida Claire","Dallas"
"Peter Pumpkin","John Weyrich","La Mar Cebicheria Peruana","San Francisco"
